vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,A,154,77,7,10,False,,6,6,138,0,0,8,0,0,0,2,0,1,3,0,0
A,A,189,95,10,7,False,A,5,9,175,0,0,10,1,0,1,1,1,0,3,1,0
B,B,211,106,9,10,False,,9,2,198,0,0,7,1,1,1,2,0,1,5,0,0
A,A,175,88,10,7,False,,6,5,164,0,0,4,1,0,0,2,2,0,4,0,0
B,A,170,86,8,10,False,,6,5,158,0,0,5,1,1,0,3,0,1,5,0,0
A,A,195,98,10,5,False,A,7,2,186,0,0,5,2,0,1,1,2,2,6,1,0
B,A,160,81,5,10,False,B,6,4,150,0,0,8,0,2,1,1,0,0,4,1,0
A,B,182,91,10,4,False,,7,5,170,0,0,3,1,1,1,1,0,0,3,0,0
A,A,139,70,10,5,False,,7,3,128,0,0,7,0,1,0,1,2,1,5,0,0
A,A,180,91,10,7,False,,6,5,167,0,0,7,0,1,1,1,1,1,5,0,0
A,B,178,89,10,6,False,,7,4,167,0,0,4,0,0,1,1,1,1,4,0,1
A,B,192,97,10,9,False,,4,4,180,0,0,3,0,1,1,2,1,1,6,0,0
A,A,233,117,10,9,False,,6,6,219,0,0,4,1,1,0,1,2,1,5,0,0
B,B,179,90,7,10,False,,8,1,167,0,0,10,0,1,2,1,1,0,5,0,0
A,B,134,68,10,6,False,,8,4,122,0,0,5,0,1,0,1,1,0,3,0,1
B,A,164,83,7,10,False,B,4,6,150,0,0,6,1,1,0,2,0,1,4,1,0
B,A,250,125,8,10,False,,5,3,242,0,0,9,0,2,0,0,2,2,6,0,0
B,A,250,125,6,10,False,,4,6,240,0,0,5,2,1,0,1,4,0,6,0,0
B,B,219,110,5,10,False,,4,7,207,0,0,5,1,1,1,1,1,1,5,0,0
B,A,158,80,5,10,False,,8,3,147,1,2,6,2,1,0,1,0,0,3,0,0
A,A,193,97,10,9,True,,8,2,180,0,0,5,1,1,2,1,0,1,5,0,0
A,B,156,79,10,8,False,,6,5,145,0,0,7,0,0,1,2,2,0,5,0,0
B,B,159,80,8,10,False,,10,3,141,0,0,5,0,0,2,2,1,0,5,0,0
A,A,269,135,10,8,False,,5,6,258,0,0,5,0,0,3,0,1,0,4,0,0
A,B,236,118,10,7,False,,7,5,224,0,0,5,0,0,1,0,0,1,2,0,1
B,A,218,109,7,10,False,,7,4,207,0,0,3,0,0,1,0,3,1,5,0,0
B,B,311,156,8,10,False,,8,6,297,0,0,3,1,0,2,0,1,0,3,0,0
B,A,142,71,7,10,False,,11,3,128,0,0,4,0,0,1,1,0,0,2,0,0
A,A,174,88,10,7,False,,7,4,161,0,0,9,0,1,1,2,0,2,6,0,0
A,B,170,85,10,6,False,,9,4,157,0,0,5,0,0,0,1,2,0,3,0,0
A,B,192,96,10,7,False,,4,5,183,0,0,7,1,1,1,1,2,0,5,0,0
B,A,164,82,5,10,False,,9,3,152,0,0,6,2,3,0,1,2,0,6,0,0
A,B,208,104,10,6,False,A,9,4,195,0,0,4,2,0,0,1,0,1,2,1,0
A,B,216,108,10,9,False,A,6,6,204,0,0,7,1,0,2,0,0,2,4,1,0
A,A,225,113,10,6,False,,9,2,214,0,0,6,0,2,1,0,2,0,5,0,0
A,B,150,76,10,5,False,,8,3,139,0,0,5,0,1,0,1,1,1,4,0,0
A,A,181,91,10,7,False,,9,3,167,0,0,4,0,0,0,2,0,2,4,0,0
B,B,156,79,8,10,False,B,7,4,142,0,0,5,1,0,1,2,0,0,3,1,0
A,B,278,139,10,9,False,A,6,6,266,0,0,6,3,2,0,0,2,0,4,1,0
A,B,202,101,10,5,False,,5,7,190,1,2,7,0,2,0,0,0,0,3,0,0
B,B,259,130,9,10,False,,7,8,244,1,2,5,2,0,0,0,0,0,1,0,0
A,B,244,122,10,7,False,,10,4,230,0,0,7,0,1,0,0,1,1,3,0,0
B,B,239,120,6,10,False,B,4,3,232,0,0,7,1,0,2,0,2,2,6,1,0
B,A,228,114,8,10,False,B,10,3,213,0,0,6,2,1,1,0,0,1,3,1,0
A,A,117,59,10,6,False,,8,2,105,0,0,2,1,2,0,2,0,0,4,0,0
A,A,284,143,10,8,False,,5,5,272,0,0,10,1,2,0,1,0,3,6,0,0
A,B,196,98,10,8,False,,8,1,185,0,0,6,2,0,2,2,0,0,4,0,0
B,A,216,108,9,10,False,,8,5,203,0,0,9,1,1,0,0,1,1,3,0,0
A,B,244,122,10,6,False,A,7,4,232,0,0,7,0,1,1,1,1,1,5,1,0
B,B,111,56,6,10,False,A,7,4,99,0,0,6,1,0,0,2,0,1,3,1,0
A,B,64,32,10,0,False,,4,4,56,0,0,1,1,0,1,0,0,1,2,0,0
B,B,203,102,8,10,False,,11,5,187,0,0,7,0,0,1,0,0,0,1,0,0
B,B,225,113,8,10,False,,8,5,209,0,0,4,1,0,0,2,1,0,3,0,0
B,B,189,95,7,10,False,,8,1,178,0,0,5,0,2,2,1,0,0,5,0,0
