vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,B,273,137,8,10,False,,10,1,262,0,0,8,0,1,1,0,1,1,4,0,0
B,B,208,105,6,11,False,,8,3,194,0,0,4,1,0,1,1,1,2,5,0,0
B,A,190,96,6,10,False,,9,2,179,0,0,4,0,0,1,1,0,1,3,0,0
B,A,250,126,7,10,False,,6,5,239,0,0,4,0,0,1,1,2,1,5,0,0
A,B,148,74,10,5,False,,8,3,137,0,0,7,2,1,1,1,0,2,5,0,0
A,B,230,115,10,9,False,A,10,1,219,0,0,7,0,1,2,0,1,0,4,1,0
B,B,143,72,7,10,False,,10,4,125,0,0,3,0,1,1,1,0,0,3,0,0
B,B,175,88,7,10,True,,3,8,162,0,0,4,2,1,2,1,0,1,5,0,0
A,A,131,66,10,6,False,,9,3,119,0,0,6,2,0,2,1,0,2,5,0,0
A,B,222,111,10,9,False,,9,4,209,0,0,4,0,0,0,0,2,1,3,0,0
A,B,244,122,10,6,False,,8,6,230,0,0,5,0,2,1,0,0,2,5,0,0
B,B,173,87,6,10,False,,6,5,159,0,0,5,0,0,1,1,2,1,5,0,0
B,B,174,88,7,10,False,,8,4,160,0,0,5,2,1,0,1,1,1,4,0,0
B,A,182,92,4,10,False,,6,5,171,0,0,3,0,2,3,1,0,0,6,0,0
A,B,190,95,10,8,False,,10,1,179,0,0,7,1,1,1,1,1,1,5,0,0
A,B,246,123,10,7,False,,8,7,231,0,0,6,1,3,0,0,0,0,3,0,0
B,A,202,101,8,10,False,,6,6,190,0,0,3,2,1,1,1,0,1,4,0,0
A,A,297,149,10,7,False,,8,8,281,0,0,7,0,0,2,0,0,0,2,0,0
B,B,129,65,8,10,False,,6,2,120,0,0,2,1,1,3,1,0,0,5,0,0
B,B,247,124,5,10,False,,4,9,234,0,0,2,2,0,1,0,0,1,2,0,1
B,B,188,95,5,10,False,B,7,6,174,0,0,6,0,0,1,1,1,2,5,1,0
B,A,168,84,6,10,False,,9,3,156,0,0,5,0,0,1,1,2,0,4,0,0
B,B,177,89,5,10,False,,6,4,166,0,0,3,0,1,1,1,3,0,6,0,0
B,B,153,77,8,10,False,,10,4,136,0,0,4,0,0,0,1,1,3,5,0,0
A,B,214,107,10,9,False,,9,2,203,0,0,8,0,1,0,0,3,1,5,0,0
B,A,242,121,8,10,False,,7,3,230,0,0,7,0,3,0,1,1,2,7,0,0
B,B,277,139,9,10,False,,6,7,264,0,0,9,0,0,0,0,0,4,4,0,0
B,A,212,106,7,10,False,,5,10,197,0,0,5,0,2,0,0,0,2,4,0,0
A,B,214,107,10,9,False,,11,4,199,0,0,4,0,1,0,0,0,0,1,0,0
B,A,206,103,7,10,False,,10,4,192,0,0,5,1,1,0,0,1,3,5,0,0
B,B,251,126,5,10,False,B,9,4,238,0,0,3,1,1,1,0,0,3,5,1,0
A,B,296,149,10,6,False,,2,7,287,1,2,6,1,0,2,1,1,0,5,0,0
B,A,206,103,7,10,False,B,7,3,196,1,2,5,1,0,1,0,0,1,3,1,0
A,A,269,135,10,9,False,B,6,6,257,0,0,9,0,1,1,0,0,2,4,1,0
A,A,229,115,10,7,False,,9,2,218,0,0,6,1,2,1,0,0,1,4,0,0
B,B,223,112,9,10,False,,5,7,207,0,0,5,0,2,1,1,0,1,5,0,0
A,A,225,113,10,9,False,,7,5,213,0,0,6,0,1,0,1,1,1,4,0,0
A,A,253,127,10,9,False,B,7,7,239,0,0,8,2,1,0,0,1,1,3,1,0
A,A,215,108,10,8,False,B,8,3,204,0,0,6,1,0,1,0,0,1,2,1,0
A,B,148,74,10,7,False,,6,9,131,0,0,6,1,0,1,1,1,1,4,0,0
B,B,263,132,9,10,False,,8,3,252,0,0,8,0,0,1,0,1,2,4,0,0
B,A,160,80,6,10,False,,8,2,150,0,0,7,1,0,2,2,0,0,4,0,0
A,A,172,87,10,8,False,,7,3,159,0,0,7,2,0,2,2,0,1,5,0,0
B,A,262,131,8,10,False,,10,2,250,0,0,5,0,1,2,0,1,0,4,0,0
B,B,275,138,9,10,False,,10,4,261,0,0,5,0,0,1,0,1,1,3,0,0
B,B,189,95,7,10,False,,6,6,172,0,0,8,1,1,0,1,1,1,4,0,0
B,A,182,92,7,10,False,,8,3,171,0,0,6,1,1,0,1,1,3,6,0,0
A,B,180,90,10,5,False,A,5,6,169,0,0,11,2,0,0,2,1,0,3,1,0
A,B,196,98,10,8,False,,11,2,183,0,0,9,0,2,1,0,0,1,4,0,0
B,B,149,75,6,10,False,,9,2,133,0,0,5,0,1,0,2,2,0,5,0,0
B,B,257,129,8,10,False,,6,5,242,0,0,5,0,1,1,0,2,1,5,0,0
A,A,223,112,10,7,False,,9,6,208,0,0,6,0,3,1,0,0,0,4,0,0
A,B,144,72,10,4,False,,7,3,134,0,0,5,2,0,2,0,2,1,5,0,0
B,A,152,77,5,10,False,,8,2,142,0,0,6,0,1,0,1,2,1,5,0,0
A,B,190,95,10,9,False,,5,2,181,0,0,8,1,1,2,1,0,2,6,0,0
A,A,227,114,10,6,False,,7,8,212,0,0,8,0,1,1,0,0,1,3,0,0
B,A,230,115,8,10,False,,8,4,218,0,0,5,0,1,0,2,1,0,4,0,0
A,A,233,117,10,6,False,,6,7,220,0,0,6,1,0,3,0,1,1,5,0,0
B,A,268,134,8,10,False,,7,6,255,0,0,6,0,0,1,0,0,2,3,0,0
A,A,163,82,10,6,False,,10,2,151,0,0,7,1,2,0,0,1,1,4,0,0
B,B,151,76,7,10,False,,11,4,134,0,0,4,2,1,0,2,0,0,3,0,0
B,B,231,116,8,10,False,,9,4,218,0,0,4,0,1,1,0,1,0,3,0,0
B,B,175,88,6,10,False,,7,5,162,0,0,5,1,0,1,1,2,0,4,0,0
B,B,216,109,5,10,False,,8,3,202,0,0,5,0,0,1,1,1,2,5,0,0
B,B,126,64,5,10,False,,9,2,114,0,0,6,0,2,0,2,0,0,4,0,0
A,B,144,72,10,4,False,,7,5,132,0,0,6,1,1,1,0,1,1,4,0,0
A,B,132,66,10,2,False,,10,2,120,0,0,6,1,1,1,0,0,1,3,0,0
B,A,160,80,6,10,False,,8,5,147,0,0,8,0,2,0,1,0,1,4,0,0
A,A,107,54,10,7,False,B,8,1,98,0,0,3,2,1,0,2,1,1,5,1,0
A,A,53,27,10,0,False,,6,3,44,0,0,2,1,0,1,0,0,0,1,0,0
A,A,289,145,10,9,False,B,10,4,275,0,0,6,1,1,1,0,0,1,3,1,0
B,B,229,115,8,10,False,,7,6,216,0,0,4,2,2,0,0,1,1,4,0,0
A,B,226,113,10,9,False,,6,6,214,0,0,5,1,1,1,2,1,1,6,0,0
B,B,189,95,5,10,False,,10,5,173,0,0,9,1,1,1,1,0,0,3,0,0
B,A,276,138,9,10,False,B,10,5,261,0,0,7,0,0,0,0,0,1,1,1,0
B,A,218,110,9,10,True,,7,2,209,0,0,9,1,1,1,1,0,4,7,0,0
B,B,197,99,7,10,False,,6,7,183,0,0,8,0,2,0,1,1,1,5,0,0
B,B,141,71,7,10,False,B,7,1,131,0,0,9,2,2,0,1,1,2,6,1,0
B,A,178,89,7,10,False,B,8,3,167,0,0,9,0,4,0,1,0,0,5,1,0
B,B,151,76,7,10,False,,10,3,135,0,0,4,0,1,3,1,0,1,6,0,0
B,A,180,90,5,10,False,,5,11,164,0,0,7,0,0,2,1,0,1,4,0,0
B,B,329,165,8,10,False,,5,7,317,0,0,6,0,0,0,0,1,1,2,0,0
B,B,237,119,9,10,False,,7,4,224,0,0,8,0,0,2,1,1,1,5,0,1
A,A,171,86,10,8,False,B,8,2,161,0,0,10,1,0,2,0,0,2,4,1,1
B,B,183,92,7,10,False,B,8,2,170,0,0,8,1,0,2,1,0,0,3,1,0
B,B,185,93,8,10,False,,6,3,173,1,2,4,0,1,0,2,1,2,7,0,0
A,A,243,122,11,8,False,,6,4,233,0,0,4,3,1,1,0,0,1,3,0,0
A,B,126,64,10,7,False,,5,8,113,0,0,6,1,0,1,2,0,0,3,0,0
A,B,134,67,10,3,False,B,6,6,122,0,0,4,2,2,0,0,0,0,2,1,0
B,B,183,92,8,10,False,,11,1,167,0,0,5,0,0,0,1,0,1,2,0,0
A,B,172,86,10,3,False,,7,5,160,0,0,6,1,0,2,0,2,0,4,0,0
A,B,176,89,10,6,False,,9,3,164,0,0,7,1,0,2,1,0,3,6,0,0
A,A,191,96,10,9,False,B,5,7,179,0,0,7,1,0,1,0,1,1,3,1,0
A,B,214,107,10,9,False,,4,5,203,0,0,6,1,1,2,1,2,1,7,0,0
B,B,247,124,7,10,False,,10,3,234,0,0,3,0,0,1,0,1,1,3,0,0
A,A,133,67,10,2,False,,5,5,123,0,0,6,1,0,0,1,1,1,3,0,1
A,B,136,68,10,7,False,B,12,1,121,0,0,5,2,0,1,1,0,0,2,1,0
B,A,206,103,8,10,False,,9,4,193,1,2,5,0,0,0,0,0,1,2,0,0
A,A,149,75,10,8,False,,6,9,134,0,0,7,1,0,1,1,0,1,3,0,0
A,B,108,54,10,4,False,,9,2,97,0,0,4,2,0,2,0,1,0,3,0,0
B,A,224,112,7,10,False,B,9,7,208,0,0,2,0,1,1,0,0,0,2,1,0
A,B,142,71,10,5,False,A,7,5,130,0,0,4,1,1,0,1,0,2,4,1,0
B,A,132,66,6,10,False,B,4,5,123,0,0,3,1,1,2,1,1,0,5,1,0
B,B,179,90,8,10,False,,8,6,164,0,0,6,1,0,0,1,1,1,3,0,0
B,A,184,92,8,10,False,B,4,5,175,0,0,5,2,0,2,0,0,1,3,1,0
B,A,240,120,8,10,False,,9,4,227,0,0,7,0,0,1,0,0,2,3,0,0
B,A,232,116,7,10,False,B,6,7,219,0,0,5,2,0,0,0,0,1,1,1,0
A,A,235,118,10,9,False,,3,6,225,0,0,6,0,1,1,2,0,1,5,0,0
B,A,134,68,5,10,False,B,7,2,125,0,0,5,0,0,1,2,2,1,6,1,0
B,B,160,81,7,10,False,A,8,3,145,0,0,2,1,0,0,3,2,0,5,1,0
B,B,169,85,5,10,False,,9,2,158,0,0,2,1,1,0,0,1,2,4,0,0
B,B,188,95,7,10,False,B,8,3,176,0,0,5,0,1,1,1,2,0,5,1,0
B,B,208,105,9,10,False,,6,6,193,0,0,4,1,0,1,1,1,2,5,0,0
B,A,234,117,8,10,False,,6,4,224,0,0,6,1,1,0,1,0,2,4,0,0
B,A,174,87,4,10,False,,8,2,164,0,0,5,0,1,2,1,1,1,6,0,0
B,A,168,84,9,11,False,B,8,5,155,0,0,3,2,0,1,1,0,0,2,1,0
A,B,204,102,10,7,False,B,4,6,194,0,0,5,2,0,2,0,0,2,4,1,0
B,B,222,112,8,10,False,,4,9,207,0,0,4,0,0,1,2,1,1,5,0,0
A,B,122,61,10,3,False,,8,6,108,0,0,4,1,2,0,0,0,0,2,0,0
A,B,134,67,10,4,False,,9,3,122,0,0,3,2,0,2,0,2,0,4,0,0
A,B,254,127,10,7,False,,10,6,238,0,0,6,0,0,0,0,1,0,1,0,0
B,A,258,130,8,10,False,,9,3,246,0,0,6,0,1,1,2,0,0,4,0,0
B,A,138,70,5,10,False,,11,3,124,0,0,4,1,0,1,1,1,0,3,0,0
B,A,222,111,9,10,False,,6,4,209,0,0,4,0,1,1,3,1,1,7,0,0
B,B,184,93,7,10,False,,6,7,170,0,0,7,1,1,1,2,0,0,4,0,0
B,A,224,112,8,10,False,B,7,4,213,0,0,6,0,0,1,1,1,0,3,1,0
B,B,243,122,8,10,False,,10,6,227,0,0,9,0,1,0,0,0,0,1,0,0
B,B,305,153,8,10,False,,8,2,295,1,2,6,0,3,2,0,0,0,6,0,0
